MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20150512,AK,76.08,23.92,0,0,0,0,5/12/2015,5/18/2015,1
20150505,AK,76.08,23.92,0,0,0,0,5/5/2015,5/11/2015,1
20150428,AK,76.08,23.92,0,0,0,0,4/28/2015,5/4/2015,1
20150512,AL,52.56,47.44,0,0,0,0,5/12/2015,5/18/2015,1
20150505,AL,64.57,35.43,0,0,0,0,5/5/2015,5/11/2015,1
20150428,AL,73.06,26.94,0,0,0,0,4/28/2015,5/4/2015,1
20150512,AR,95,5,0,0,0,0,5/12/2015,5/18/2015,1
20150505,AR,94.48,5.52,0,0,0,0,5/5/2015,5/11/2015,1
20150428,AR,96.02,3.98,0,0,0,0,4/28/2015,5/4/2015,1
20150512,AZ,7.04,92.96,80.21,29.48,0,0,5/12/2015,5/18/2015,1
20150505,AZ,7.04,92.96,80.21,29.48,0,0,5/5/2015,5/11/2015,1
20150428,AZ,7.04,92.96,80.21,29.49,0.97,0,4/28/2015,5/4/2015,1
20150512,CA,0.14,99.86,98.28,93.91,66.6,46.77,5/12/2015,5/18/2015,1
20150505,CA,0.14,99.86,98.28,93.91,66.6,46.77,5/5/2015,5/11/2015,1
20150428,CA,0.14,99.86,98.11,93.44,66.6,46.77,4/28/2015,5/4/2015,1
20150512,CO,42.49,57.51,49.14,20.25,0,0,5/12/2015,5/18/2015,1
20150505,CO,42.17,57.83,50.5,31.78,0,0,5/5/2015,5/11/2015,1
20150428,CO,41.76,58.24,50.86,35.92,0,0,4/28/2015,5/4/2015,1
20150512,CT,0,100,0,0,0,0,5/12/2015,5/18/2015,1
20150505,CT,4.57,95.43,0,0,0,0,5/5/2015,5/11/2015,1
20150428,CT,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,DC,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,DC,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,DC,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,DE,100,0,0,0,0,0,5/12/2015,5/18/2015,1
20150505,DE,100,0,0,0,0,0,5/5/2015,5/11/2015,1
20150428,DE,100,0,0,0,0,0,4/28/2015,5/4/2015,1
20150512,FL,87.85,12.15,3.31,0,0,0,5/12/2015,5/18/2015,1
20150505,FL,90.05,9.95,3.31,0,0,0,5/5/2015,5/11/2015,1
20150428,FL,90.49,9.51,5.14,0,0,0,4/28/2015,5/4/2015,1
20150512,GA,67.29,32.71,0,0,0,0,5/12/2015,5/18/2015,1
20150505,GA,74.17,25.83,0,0,0,0,5/5/2015,5/11/2015,1
20150428,GA,74.6,25.4,0,0,0,0,4/28/2015,5/4/2015,1
20150512,HI,39.86,60.14,19.76,0,0,0,5/12/2015,5/18/2015,1
20150505,HI,39.86,60.14,19.76,0,0,0,5/5/2015,5/11/2015,1
20150428,HI,34.4,65.6,23.33,0,0,0,4/28/2015,5/4/2015,1
20150512,IA,85.62,14.38,0,0,0,0,5/12/2015,5/18/2015,1
20150505,IA,80.23,19.77,1.8,0,0,0,5/5/2015,5/11/2015,1
20150428,IA,78.93,21.07,1.52,0,0,0,4/28/2015,5/4/2015,1
20150512,ID,0.02,99.98,61.33,21.96,8.18,0,5/12/2015,5/18/2015,1
20150505,ID,0.02,99.98,61.33,21.96,8.18,0,5/5/2015,5/11/2015,1
20150428,ID,18.17,81.83,48.07,21.83,8.18,0,4/28/2015,5/4/2015,1
20150512,IL,89.17,10.83,0,0,0,0,5/12/2015,5/18/2015,1
20150505,IL,89.17,10.83,0,0,0,0,5/5/2015,5/11/2015,1
20150428,IL,88.29,11.71,0,0,0,0,4/28/2015,5/4/2015,1
20150512,IN,80.09,19.91,0,0,0,0,5/12/2015,5/18/2015,1
20150505,IN,78.45,21.55,0,0,0,0,5/5/2015,5/11/2015,1
20150428,IN,78.45,21.55,0,0,0,0,4/28/2015,5/4/2015,1
20150512,KS,21.55,78.45,49.17,14.63,0.47,0,5/12/2015,5/18/2015,1
20150505,KS,8.63,91.37,67.96,24.68,1.52,0,5/5/2015,5/11/2015,1
20150428,KS,8.01,91.99,67.89,26.18,3.17,0,4/28/2015,5/4/2015,1
